P_Pa,T_K,rho_kg_m3,u_m_s,M,a_m_s,A_m2,A_over_Astar,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_AR
1.817180223648444226e+05,1.676092220901542305e+03,1.827538635765564856e-01,3.790892335249637654e+03,3.432870999946057378e+00,1.104292102822741072e+03,6.780479408872694957e-01,1.261522616005599318e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.780415395051420492e+05,1.669776189516722070e+03,1.797337157460930646e-01,3.796239575458881518e+03,3.443782655428728301e+00,1.102345866535608820e+03,6.884703692175377920e-01,1.280913765597655818e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.744394385148979491e+05,1.663477087227908214e+03,1.767642083679299980e-01,3.801559175741394938e+03,3.454702540615403716e+00,1.100401302586301426e+03,6.990565848799726867e-01,1.300609645004941939e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.709102145149329153e+05,1.657194877955426591e+03,1.738444829790684043e-01,3.806851305831813079e+03,3.465630816570397510e+00,1.098458406945690967e+03,7.098091480674446618e-01,1.320615017520748147e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.674523930724863603e+05,1.650929525803567230e+03,1.709736957860809037e-01,3.812116133811474810e+03,3.476567643993780266e+00,1.096517175610662434e+03,7.207306585391893838e-01,1.340934720052428908e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.640645295852253621e+05,1.644680995059679390e+03,1.681510174130227686e-01,3.817353826132515678e+03,3.487513183236526704e+00,1.094577604604174212e+03,7.318237562176346245e-01,1.361573664231811698e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.607452086777251970e+05,1.638449250193266380e+03,1.653756326536990340e-01,3.822564547641518857e+03,3.498467594315429530e+00,1.092639689975321289e+03,7.430911217939335511e-01,1.382536837541805319e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.574930436101550586e+05,1.632234255855058109e+03,1.626467402282023300e-01,3.827748461602729549e+03,3.509431036927810332e+00,1.090703427799389829e+03,7.545354773423719186e-01,1.403829304459516081e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.543066756989270798e+05,1.626035976876100449e+03,1.599635525436461092e-01,3.832905729720839645e+03,3.520403670465986679e+00,1.088768814177917193e+03,7.661595869437762829e-01,1.425456207616113780e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.511847737490715517e+05,1.619854378266852109e+03,1.573252954590294850e-01,3.838036512163330372e+03,3.531385654031494514e+00,1.086835845238754246e+03,7.779662573180198271e-01,1.447422768973620855e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
