pressure_atm,t_inf_k,mdot_f_kg_s,y_f_s,t_s_k,t_f_k,r_f_m,r_f_over_r_s
10.000000,680.000000,9.5202749046e-08,9.7151716261e-01,1.4865391702e+02,3.4063926473e+03,7.9538623436e-04,1.5907724687e+01
10.000000,690.000000,9.5412538264e-08,9.7156332623e-01,1.4865443707e+02,3.4078821681e+03,7.9574879903e-04,1.5914975981e+01
10.000000,700.000000,9.5622494785e-08,9.7160948416e-01,1.4865495703e+02,3.4093785138e+03,7.9611190808e-04,1.5922238162e+01
10.000000,710.000000,9.5832614189e-08,9.7165563369e-01,1.4865547686e+02,3.4108815440e+03,7.9647554162e-04,1.5929510832e+01
10.000000,720.000000,9.6042891988e-08,9.7170177203e-01,1.4865599653e+02,3.4123911179e+03,7.9683967940e-04,1.5936793588e+01
10.000000,730.000000,9.6253323627e-08,9.7174789642e-01,1.4865651600e+02,3.4139070936e+03,7.9720430093e-04,1.5944086019e+01
10.000000,740.000000,9.6463904515e-08,9.7179400406e-01,1.4865703526e+02,3.4154293292e+03,7.9756938552e-04,1.5951387710e+01
10.000000,750.000000,9.6674630043e-08,9.7184009218e-01,1.4865755427e+02,3.4169576835e+03,7.9793491245e-04,1.5958698249e+01
10.000000,760.000000,9.6885495599e-08,9.7188615803e-01,1.4865807299e+02,3.4184920162e+03,7.9830086104e-04,1.5966017221e+01
10.000000,770.000000,9.7096496597e-08,9.7193219889e-01,1.4865859139e+02,3.4200321887e+03,7.9866721073e-04,1.5973344215e+01
10.000000,780.000000,9.7307628489e-08,9.7197821208e-01,1.4865910946e+02,3.4215780646e+03,7.9903394121e-04,1.5980678824e+01
10.000000,790.000000,9.7518886794e-08,9.7202419500e-01,1.4865962715e+02,3.4231295103e+03,7.9940103248e-04,1.5988020650e+01
10.000000,800.000000,9.7730267106e-08,9.7207014511e-01,1.4866014443e+02,3.4246863952e+03,7.9976846499e-04,1.5995369300e+01
10.000000,810.000000,9.7941765120e-08,9.7211605993e-01,1.4866066129e+02,3.4262485925e+03,8.0013621969e-04,1.6002724394e+01
10.000000,820.000000,9.8153376659e-08,9.7216193711e-01,1.4866117769e+02,3.4278159802e+03,8.0050427814e-04,1.6010085563e+01
10.000000,830.000000,9.8365097677e-08,9.7220777436e-01,1.4866169360e+02,3.4293884404e+03,8.0087262263e-04,1.6017452453e+01
10.000000,840.000000,9.8576924296e-08,9.7225356955e-01,1.4866220902e+02,3.4309658612e+03,8.0124123621e-04,1.6024824724e+01
10.000000,850.000000,9.8788852805e-08,9.7229932064e-01,1.4866272390e+02,3.4325481359e+03,8.0161010284e-04,1.6032202057e+01
10.000000,860.000000,9.9000879708e-08,9.7234502573e-01,1.4866323823e+02,3.4341351649e+03,8.0197920746e-04,1.6039584149e+01
10.000000,870.000000,9.9213001714e-08,9.7239068308e-01,1.4866375199e+02,3.4357268551e+03,8.0234853605e-04,1.6046970721e+01
10.000000,880.000000,9.9425215771e-08,9.7243629108e-01,1.4866426517e+02,3.4373231206e+03,8.0271807576e-04,1.6054361515e+01
10.000000,890.000000,9.9637519082e-08,9.7248184830e-01,1.4866477774e+02,3.4389238835e+03,8.0308781497e-04,1.6061756299e+01
10.000000,900.000000,9.9849909128e-08,9.7252735349e-01,1.4866528969e+02,3.4405290744e+03,8.0345774339e-04,1.6069154868e+01
10.000000,910.000000,1.0006238368e-07,9.7257280555e-01,1.4866580102e+02,3.4421386326e+03,8.0382785213e-04,1.6076557043e+01
10.000000,920.000000,1.0027494083e-07,9.7261820359e-01,1.4866631170e+02,3.4437525065e+03,8.0419813381e-04,1.6083962676e+01
10.000000,930.000000,1.0048757898e-07,9.7266354693e-01,1.4866682174e+02,3.4453706549e+03,8.0456858261e-04,1.6091371652e+01
10.000000,940.000000,1.0070029690e-07,9.7270883509e-01,1.4866733112e+02,3.4469930462e+03,8.0493919436e-04,1.6098783887e+01
10.000000,950.000000,1.0091309371e-07,9.7275406778e-01,1.4866783985e+02,3.4486196588e+03,8.0530996665e-04,1.6106199333e+01
10.000000,960.000000,1.0112596893e-07,9.7279924496e-01,1.4866834792e+02,3.4502504842e+03,8.0568089889e-04,1.6113617978e+01
10.000000,970.000000,1.0133892249e-07,9.7284436683e-01,1.4866885534e+02,3.4518855241e+03,8.0605199236e-04,1.6121039847e+01
10.000000,980.000000,1.0155195472e-07,9.7288943380e-01,1.4866936211e+02,3.4535247923e+03,8.0642325036e-04,1.6128465007e+01
10.000000,990.000000,1.0176506641e-07,9.7293444654e-01,1.4866986824e+02,3.4551683158e+03,8.0679467821e-04,1.6135893564e+01
10.000000,1000.000000,1.0197825878e-07,9.7297940599e-01,1.4867037373e+02,3.4568161337e+03,8.0716628338e-04,1.6143325668e+01
