P_Pa,T_K,rho_kg_m3,u_m_s,M,a_m_s,A_m2,A_over_Astar,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_AR
1.233944151267219713e+05,1.826536977952089273e+03,1.138621116171890657e-01,4.095316625561000819e+03,3.564912528942113301e+00,1.148784603356392836e+03,9.733281109431466405e-01,1.810897652962461990e+01,3.594980875166489676e-02,1.453268148865554207e-05,3.012487692879187632e-08,7.970822733362640344e-08,5.902924103058812772e-05,9.639765190427507235e-01,7.378479827318620073e-11,3.761760899709628505e-10,0.000000000000000000e+00
1.209376082458359015e+05,1.819986269330676123e+03,1.119973967477806004e-01,4.100625489976743665e+03,3.575464293941325256e+00,1.146879161099528119e+03,9.882525635893575355e-01,1.838664914551756979e+01,3.595023027826511897e-02,1.391333639297189591e-05,2.726289637612078537e-08,7.220194817715892308e-08,5.571372843274422485e-05,9.639800427806710648e-01,6.603687826742332350e-11,3.453566171526390073e-10,0.000000000000000000e+00
1.185297168693004205e+05,1.813450312201657880e+03,1.101637260155562958e-01,4.105908445167419814e+03,3.586028230122725979e+00,1.144973821086428416e+03,1.003409265888604240e+00,1.866864281560442862e+01,3.595063897250263402e-02,1.331693516510022677e-05,2.465834627462166972e-08,6.536449274509508657e-08,5.256684457097866875e-05,9.639833868489239288e-01,5.906759429086745429e-11,3.169307942724134693e-10,0.000000000000000000e+00
1.161697670798799081e+05,1.806929155025607770e+03,1.083605730064376022e-01,4.111165635296018991e+03,3.596604393200625083e+00,1.143068624135634991e+03,1.018801832205057822e+00,1.895502478589936857e+01,3.595103507215318545e-02,1.274278281781572155e-05,2.228948637271379129e-08,5.913995954963459298e-08,4.958104071320508353e-05,9.639865593313435843e-01,5.280244711517748650e-11,2.907236837117836361e-10,0.000000000000000000e+00
1.138568043512209406e+05,1.800422844034488435e+03,1.065874204726150465e-01,4.116397203386079127e+03,3.607192860554128799e+00,1.141163603532339948e+03,1.034433932550018698e+00,1.924586333774323421e+01,3.595141881787584232e-02,1.219019892806727486e-05,2.013627973567838822e-08,5.347677626337410628e-08,4.674904967104678529e-05,9.639895680067233075e-01,4.717367717656336265e-11,2.665722541624286609e-10,0.000000000000000000e+00
1.115898931617757771e+05,1.793931423271908443e+03,1.048437601664887614e-01,4.121603291333175548e+03,3.617793697938120889e+00,1.139258795680414096e+03,1.050309293413260736e+00,1.954122780327089615e+01,3.595179045275440771e-02,1.165851759548115350e-05,1.818027119202813132e-08,4.832739497181252038e-08,4.406387822719742809e-05,9.639924203573124739e-01,4.211969359723035040e-11,2.443246377518654017e-10,0.000000000000000000e+00
1.093681166164139577e+05,1.787454934633705989e+03,1.031290926777776312e-01,4.126784039916435177e+03,3.628406971199673592e+00,1.137354236355681223e+03,1.066431698606147060e+00,1.984118858109757610e+01,3.595215022185204584e-02,1.114708738844937211e-05,1.640447343373685034e-08,4.364800628342331559e-08,4.151879961695414359e-05,9.639951235772390437e-01,3.758454786344798029e-11,2.238394285536303866e-10,0.000000000000000000e+00
1.071905760755652154e+05,1.780993417909116260e+03,1.014429272736617760e-01,4.131939588809664201e+03,3.639032747711205662e+00,1.135449960269930443e+03,1.082804990117534505e+00,2.014581715224313285e+01,3.595249837178977198e-02,1.065527127837192504e-05,1.479326037249662759e-08,3.939827134259520435e-08,3.910734607244669743e-05,9.639976845808252426e-01,3.351744901065855677e-11,2.049850205290373474e-10,0.000000000000000000e+00
1.050563907917485340e+05,1.774546910822093878e+03,9.978478174196565853e-02,4.137070076592500300e+03,3.649671094538750271e+00,1.133546001661102537e+03,1.099433068981930717e+00,2.045518609628433637e+01,3.595283515034269906e-02,1.018244656254106034e-05,1.333226736786468410e-08,3.554107082155173077e-08,3.682330143718946211e-05,9.640001100108080978e-01,2.987231735717290735e-11,1.876389830130831785e-10,0.000000000000000000e+00
1.029646975533377117e+05,1.768115449072967749e+03,9.815418223730321134e-02,4.142175640761390241e+03,3.660322083570332286e+00,1.131642392715629740e+03,1.116319896160330449e+00,2.076936910774297473e+01,3.595316080605059916e-02,9.728004776216849154e-06,1.200829795741434797e-08,3.204226999975335793e-08,3.466069385839247821e-05,9.640024062464519483e-01,2.660737401120710362e-11,1.716874719267201649e-10,0.000000000000000000e+00
1.009146503354177839e+05,1.761699066380432896e+03,9.655066313009937062e-02,4.147256417740287361e+03,3.670985775209556046e+00,1.129739168630677568e+03,1.133469493434289488e+00,2.108844101272033100e+01,3.595347558784954545e-02,9.291351594422116381e-06,1.080923673294550403e-08,2.887049907108985401e-08,3.261378856382790472e-05,9.640045794115468247e-01,2.368476354962189220e-11,1.570246749634222883e-10,0.000000000000000000e+00
9.890541995759514975e+04,1.755297794523554330e+03,9.497376685848216149e-02,4.152312542891307203e+03,3.681662236271865840e+00,1.127836362060206966e+03,1.150885944312844078e+00,2.141247778577057304e+01,3.595377974472530047e-02,8.871906723946381928e-06,9.723968020715085382e-09,2.599694785107452271e-08,3.067708072944814866e-05,9.640066353822828171e-01,2.107020743178468793e-11,1.435522890629162955e-10,0.000000000000000000e+00
9.693619374861964025e+04,1.748911663383777068e+03,9.342304378298513234e-02,4.157344150525389523e+03,3.692351540180575764e+00,1.125934003110135336e+03,1.168573394952478806e+00,2.174155656701697836e+01,3.595407352537418472e-02,8.469103786074037366e-06,8.742300037645831223e-09,2.339517408859476055e-08,2.884528844359175446e-05,9.640085797950103119e-01,1.873268586904460318e-11,1.311790285505423230e-10,0.000000000000000000e+00
9.500617521768419829e+04,1.742540700987331093e+03,9.189805204395376514e-02,4.162351373912488270e+03,3.703053751563469831e+00,1.124032124069248994e+03,1.186536055091109709e+00,2.207575567952888562e+01,3.595435717788900143e-02,8.082390190578299987e-06,7.854894209267578605e-09,2.104092461877220431e-08,2.711334577328280483e-05,9.640104180538641154e-01,1.664414601906264786e-11,1.198201623847147585e-10,0.000000000000000000e+00
9.311458373226918047e+04,1.736184933547267974e+03,9.039835742167276478e-02,4.167334345291928003e+03,3.713768950739484875e+00,1.122130751958096198e+03,1.204778198995297256e+00,2.241515464694478155e+01,3.595463094946090704e-02,7.711227001417040878e-06,7.053199348482303285e-09,1.891196862447704604e-08,2.547639593723351482e-05,9.640121553382561270e-01,1.477923451453465913e-11,1.093970790147971808e-10,0.000000000000000000e+00
9.126065420240069216e+04,1.729844385505607079e+03,8.892353319912743581e-02,4.172293195882540203e+03,3.724497201090901211e+00,1.120229918459995133e+03,1.223304166421389727e+00,2.275983421135458329e+01,3.595489508609300139e-02,7.355088794661075234e-06,6.329390407861191520e-09,1.698794230597212767e-08,2.392978459019334903e-05,9.640137966102376721e-01,1.311505246955482367e-11,9.983687741541301297e-11,0.000000000000000000e+00
8.944363677119550994e+04,1.723519079575482692e+03,8.747316002733857010e-02,4.177228055892554949e+03,3.735238569096016370e+00,1.118329653814724452e+03,1.242118363590968944e+00,2.310987635144801899e+01,3.595514983233593503e-02,7.013463509129141542e-06,5.676311531139243812e-09,1.525020428851759971e-08,2.246905322260443221e-05,9.640153466217136202e-01,1.163093123232732732e-11,9.107198292118394636e-11,0.000000000000000000e+00
8.766279651156708132e+04,1.717209036782796602e+03,8.604682579327141423e-02,4.182139054529693567e+03,3.745993136639134136e+00,1.116429983179805049e+03,1.261225264179976824e+00,2.346536430091753189e+01,3.595539543103408453e-02,6.685852290167477213e-06,5.087423142380345103e-09,1.368170112794783096e-08,2.108993267903524159e-05,9.640168099215242759e-01,1.030822727158721075e-11,8.303978654387853989e-11,0.000000000000000000e+00
8.591741312897107855e+04,1.710914276508146486e+03,8.464412549019519061e-02,4.187026320010740164e+03,3.756760964125957614e+00,1.114530937686339485e+03,1.280629410322964512e+00,2.382638256714255220e+01,3.595563212309026840e-02,6.371769327092072415e-06,4.556752823972619425e-09,1.226684230425112861e-08,1.978833679880677749e-05,9.640181908623763896e-01,9.130134696272461101e-12,7.568230651230312340e-11,0.000000000000000000e+00
8.420678067006755737e+04,1.704634816528163356e+03,8.326466109050965902e-02,4.191889979571307776e+03,3.767542130693148472e+00,1.112632542426297505e+03,1.300335413631575898e+00,2.419301695013860254e+01,3.595586014724515278e-02,6.070741684687427559e-06,4.078849746611869613e-09,1.099138412157571154e-08,1.856035618138818797e-05,9.640194936076275090e-01,8.081514012880400348e-12,6.894587082816966099e-11,0.000000000000000000e+00
8.253020723718529916e+04,1.698370673056674377e+03,8.190804142097224405e-02,4.196730159475438086e+03,3.778336708561604862e+00,1.110734824126649528e+03,1.320347956227816644e+00,2.456535456178146859e+01,3.595607973986780087e-02,5.782309129232840964e-06,3.648742426470240234e-09,9.842321961769324885e-09,1.740225207911473711e-05,9.640207221379296643e-01,7.148735824345548779e-12,6.278081968665834583e-11,0.000000000000000000e+00
8.088701470847123710e+04,1.692121860785740864e+03,8.057388204025260625e-02,4.201546985024928290e+03,3.789144768571981459e+00,1.108837809490284826e+03,1.340671791792774403e+00,2.494348384531889806e+01,3.595629113476515176e-02,5.506023949490922341e-06,3.261899596207542692e-09,8.807790365867835830e-09,1.631045041932385265e-05,9.640218802577152912e-01,6.319538267195045811e-12,5.714122666187530027e-11,0.000000000000000000e+00
7.927653846361022443e+04,1.685888392926096230e+03,7.926180511880680235e-02,4.206340580568773476e+03,3.799966388739270506e+00,1.106941522702343491e+03,1.361311746630318398e+00,2.532749459516092116e+01,3.595649456300260838e-02,5.241450773050297417e-06,2.914193987601263113e-09,7.876970444535247498e-09,1.528153595753523760e-05,9.640229716015348282e-01,5.582897071005095182e-12,5.198463760740166336e-11,0.000000000000000000e+00
7.769812711500740261e+04,1.679670281247328830e+03,7.797143932101475994e-02,4.211111069512436188e+03,3.810801646358137340e+00,1.105045987774478363e+03,1.382272720746221095e+00,2.571747797695715576e+01,3.595669025273784403e-02,4.988166378452565212e-06,2.601868834431826297e-09,7.040004144520759932e-09,1.431224656318408608e-05,9.640239996402467648e-01,4.928907206201319987e-12,4.727182627206245263e-11,0.000000000000000000e+00
